FIPS,Volume
04003,6365529
04013,87505000
04019,1368033
04023,14903980
04027,11171167
06001,16305600
06025,30832223
06037,953593800
06059,18584600
06067,9606200
06073,108473231
06081,517806000
06085,28414400
08031,97042400
11001,15970200
12011,246226600
12057,32258600
12071,16297000
12086,853309200
12095,232621400
13063,479553200
15003,212342600
17031,541791400
18097,2623000
22051,4248400
23005,32869200
24003,45072600
25025,263177200
27053,119067000
29165,2356400
29189,8066800
32003,150551600
34013,508638400
35013,2383393
35029,1477932
36081,1429801600
37119,125130000
37183,11240199.999999998
39035,6716600
39049,3130400
41051,29171200
42003,6364000
42101,155763200
47037,4919200
48029,16572200
48043,14099
48061,17190592
48113,17200
48141,43171966
48201,452893200
48215,23150714
48323,9644454
48377,2168198
48427,3942636
48439,334144400
48453,11627200
48465,4965171
48479,25032087
51107,308043400
53033,201472200
55079,2623000
72031,38811800
